,"Time,s","Pelvis Accel Sensor X,mG","Pelvis Accel Sensor Y,mG","Pelvis Accel Sensor Z,mG","Pelvis Rot X,","Pelvis Rot Y,","Pelvis Rot Z,",Fall
0,0.0,7.249,7.406,-11.23,0.5102,-0.3873,0.6064,0.0
1,0.01,12.89,15.04,-3.425,0.5102,-0.3873,0.6064,0.0
2,0.02,12.08,19.52,2.854,0.5101,-0.3874,0.6063,0.0
3,0.03,7.249,14.14,-12.75,0.51,-0.3874,0.6063,0.0
4,0.04,2.819,3.815,-17.5,0.5099,-0.3875,0.6062,0.0
5,0.05,-0.4027,5.386,-13.13,0.5098,-0.3877,0.6061,0.0
6,0.06,-6.846,4.488,-3.425,0.5097,-0.3877,0.606,0.0
7,0.07,-10.87,2.917,-15.6,0.5097,-0.3879,0.6058,0.0
8,0.08,-0.8054,5.386,-11.23,0.5096,-0.3881,0.6056,0.0
9,0.09,-0.4027,4.937,-15.6,0.5094,-0.3882,0.6055,0.0
10,0.1,2.416,5.835,-7.23,0.5093,-0.3884,0.6053,0.0
11,0.11,2.416,0.0,-4.947,0.5091,-0.3886,0.6051,0.0
12,0.12,10.87,6.284,0.0,0.509,-0.3888,0.605,0.0
13,0.13,10.07,-0.4488,-9.323,0.5089,-0.3889,0.6048,0.0
14,0.14,9.665,-5.386,-8.372,0.5088,-0.3891,0.6047,0.0
15,0.15,0.8054,-12.12,-21.88,0.5086,-0.3892,0.6045,0.0
16,0.16,2.819,-7.406,-2.854,0.5085,-0.3893,0.6044,0.0
17,0.17,0.4027,-3.366,-6.849,0.5084,-0.3895,0.6042,0.0
18,0.18,0.0,-5.386,-9.703,0.5083,-0.3897,0.6041,0.0
19,0.19,-9.262,-8.752,-5.327,0.5081,-0.3898,0.604,0.0
20,0.2,-7.249,-6.733,0.0,0.508,-0.39,0.6038,0.0
21,0.21,-0.8054,0.8977,0.9513,0.5079,-0.3902,0.6037,0.0
22,0.22,-11.28,-6.733,-7.23,0.5078,-0.3903,0.6035,0.0
23,0.23,-12.08,2.469,-3.996,0.5078,-0.3905,0.6033,0.0
24,0.24,-13.69,-3.366,2.854,0.5077,-0.3907,0.6032,0.0
25,0.25,-16.11,-8.303,-0.9513,0.5077,-0.3909,0.603,0.0
26,0.26,-10.07,-0.4488,0.0,0.5078,-0.3911,0.6028,0.0
27,0.27,-9.262,-9.201,0.5708,0.5079,-0.3914,0.6026,0.0
28,0.28,6.443,0.4488,3.996,0.508,-0.3915,0.6023,0.0
29,0.29,12.08,4.488,0.0,0.5081,-0.3918,0.602,0.0
30,0.3,6.041,1.571,-4.947,0.5081,-0.3919,0.6018,0.0
31,0.31,14.09,8.303,7.801,0.5082,-0.3921,0.6015,0.0
32,0.32,16.91,7.855,-8.372,0.5082,-0.3922,0.6012,0.0
33,0.33,15.3,0.0,1.903,0.5082,-0.3925,0.6009,0.0
34,0.34,6.443,-11.67,-3.996,0.5082,-0.3927,0.6006,0.0
35,0.35,4.832,-15.04,-2.473,0.5082,-0.393,0.6003,0.0
36,0.36,4.43,-17.5,2.473,0.5083,-0.3932,0.6001,0.0
37,0.37,-0.4027,-19.97,2.473,0.5082,-0.3933,0.6,0.0
38,0.38,-0.8054,-24.46,11.8,0.5082,-0.3934,0.5998,0.0
39,0.39,2.014,-15.71,13.13,0.5082,-0.3934,0.5997,0.0
40,0.4,7.651,-9.201,0.5708,0.5082,-0.3934,0.5997,0.0
41,0.41,10.07,-11.22,-3.996,0.5081,-0.3933,0.5997,0.0
42,0.42,14.5,-5.386,8.752,0.508,-0.3932,0.5998,0.0
43,0.43,17.72,-8.303,2.473,0.508,-0.3931,0.5999,0.0
44,0.44,13.29,-6.733,0.5708,0.5078,-0.393,0.6,0.0
45,0.45,5.235,-10.77,0.9513,0.5077,-0.3929,0.6001,0.0
46,0.46,0.4027,-10.77,8.752,0.5075,-0.3929,0.6003,0.0
47,0.47,-7.249,-12.12,0.0,0.5075,-0.3928,0.6004,0.0
48,0.48,-4.43,-1.571,0.0,0.5073,-0.3927,0.6006,0.0
49,0.49,0.0,5.386,0.9513,0.5072,-0.3926,0.6008,0.0
50,0.5,-5.235,-4.937,8.752,0.5072,-0.3925,0.6009,0.0
51,0.51,8.859,5.835,-5.327,0.5071,-0.3923,0.601,0.0
52,0.52,0.0,0.4488,-2.473,0.5071,-0.3921,0.6012,0.0
53,0.53,6.846,4.488,-4.376,0.507,-0.392,0.6013,0.0
54,0.54,-2.014,-0.4488,1.522,0.5069,-0.3918,0.6014,0.0
55,0.55,-1.611,-0.4488,-2.854,0.5068,-0.3917,0.6015,0.0
56,0.56,7.249,3.815,-3.425,0.5067,-0.3914,0.6016,0.0
57,0.57,-0.4027,-6.733,6.849,0.5067,-0.3913,0.6016,0.0
58,0.58,-0.4027,-3.366,-0.9513,0.5066,-0.3911,0.6016,0.0
59,0.59,-2.416,-9.201,5.327,0.5066,-0.391,0.6017,0.0
60,0.6,-0.4027,-9.201,-0.5708,0.5066,-0.3908,0.6017,0.0
61,0.61,2.819,-11.22,3.425,0.5065,-0.3905,0.6018,0.0
62,0.62,14.5,-2.469,11.8,0.5065,-0.3902,0.6019,0.0
63,0.63,18.93,-3.815,6.849,0.5064,-0.3899,0.602,0.0
64,0.64,21.34,-2.02,-5.327,0.5063,-0.3896,0.6022,0.0
65,0.65,21.34,-2.469,-5.327,0.5061,-0.3892,0.6024,0.0
66,0.66,12.08,-5.835,-3.425,0.5059,-0.3887,0.6027,0.0
67,0.67,7.651,1.571,-5.327,0.5058,-0.3883,0.603,0.0
68,0.68,-3.222,-3.366,-13.13,0.5056,-0.3878,0.6034,0.0
69,0.69,-16.91,-10.32,-10.27,0.5054,-0.3874,0.6037,0.0
70,0.7,-13.69,-4.937,-10.27,0.5053,-0.387,0.6039,0.0
71,0.71,-14.5,-4.488,-5.327,0.5052,-0.3867,0.6041,0.0
72,0.72,-18.93,-12.12,-0.5708,0.5052,-0.3863,0.6044,0.0
73,0.73,-16.51,-2.917,-0.9513,0.5051,-0.3859,0.6046,0.0
74,0.74,-15.71,-8.303,-17.12,0.505,-0.3856,0.6049,0.0
75,0.75,-12.89,-2.469,-13.7,0.505,-0.3853,0.6051,0.0
76,0.76,-11.28,-9.201,8.372,0.505,-0.385,0.6054,0.0
77,0.77,-4.832,-12.12,-5.898,0.505,-0.3848,0.6056,0.0
78,0.78,6.846,-11.67,-1.903,0.505,-0.3846,0.6058,0.0
79,0.79,5.235,-17.06,3.425,0.505,-0.3844,0.606,0.0
80,0.8,18.12,-9.201,-6.849,0.505,-0.3842,0.6062,0.0
81,0.81,12.89,-14.14,3.425,0.505,-0.3839,0.6064,0.0
82,0.82,10.87,-2.917,7.801,0.5052,-0.3836,0.6066,0.0
83,0.83,4.027,-0.8977,6.849,0.5053,-0.3832,0.6068,0.0
84,0.84,-8.457,-3.366,7.801,0.5054,-0.3828,0.607,0.0
85,0.85,-2.416,1.571,14.65,0.5056,-0.3825,0.6073,0.0
86,0.86,-15.3,2.469,9.703,0.5057,-0.3822,0.6075,0.0
87,0.87,-20.94,-3.815,14.08,0.5058,-0.3819,0.6078,0.0
88,0.88,-18.93,-1.571,15.22,0.506,-0.3816,0.6081,0.0
89,0.89,-29.8,-5.386,12.18,0.5061,-0.3814,0.6083,0.0
90,0.9,-18.93,-2.02,11.8,0.5062,-0.3812,0.6086,0.0
91,0.91,-16.11,-6.284,1.903,0.5063,-0.3811,0.6087,0.0
92,0.92,-16.91,-3.366,11.8,0.5065,-0.3809,0.6089,0.0
93,0.93,-2.819,3.815,8.372,0.5066,-0.3808,0.6091,0.0
94,0.94,6.041,8.303,15.22,0.5068,-0.3805,0.6093,0.0
95,0.95,10.87,17.5,10.27,0.507,-0.3803,0.6095,0.0
96,0.96,7.651,7.855,12.75,0.5073,-0.3801,0.6096,0.0
97,0.97,15.3,19.52,4.376,0.5074,-0.38,0.6098,0.0
98,0.98,0.8054,21.99,0.0,0.5076,-0.3799,0.6099,0.0
99,0.99,-10.87,10.32,-1.522,0.5078,-0.3798,0.61,0.0
100,1.0,-20.14,10.77,-2.854,0.5079,-0.3797,0.6101,0.0
101,1.01,-26.98,5.386,0.5708,0.508,-0.3797,0.6101,0.0
102,1.02,-28.19,2.917,-2.854,0.5081,-0.3797,0.6101,0.0
103,1.03,-18.12,2.917,5.327,0.5083,-0.3798,0.6101,0.0
104,1.04,-11.28,-7.406,5.327,0.5084,-0.3798,0.61,0.0
105,1.05,12.08,-2.02,-0.9513,0.5086,-0.3799,0.6099,0.0
106,1.06,23.76,6.284,-7.23,0.5088,-0.3799,0.6098,0.0
107,1.07,31.41,3.815,-6.849,0.509,-0.3798,0.6098,0.0
108,1.08,23.76,0.0,-10.27,0.5091,-0.3797,0.6098,0.0
109,1.09,10.87,-2.469,3.425,0.5091,-0.3795,0.61,0.0
110,1.1,5.235,1.571,-13.7,0.5091,-0.3794,0.61,0.0
111,1.11,-11.28,-7.406,-16.17,0.5091,-0.3794,0.6101,0.0
112,1.12,-18.93,-13.69,-1.522,0.5091,-0.3793,0.6101,0.0
113,1.13,-15.71,-15.71,1.903,0.5091,-0.3793,0.6101,0.0
114,1.14,-10.07,-13.69,4.376,0.5092,-0.3793,0.6101,0.0
115,1.15,2.819,-9.201,4.376,0.5092,-0.3792,0.6102,0.0
116,1.16,12.08,-8.303,4.376,0.5092,-0.3791,0.6102,0.0
117,1.17,13.29,-2.02,6.279,0.5092,-0.379,0.6103,0.0
118,1.18,22.95,8.303,-3.996,0.5092,-0.3788,0.6104,0.0
119,1.19,16.11,11.22,6.849,0.5092,-0.3787,0.6106,0.0
120,1.2,6.443,5.386,10.65,0.5091,-0.3785,0.6107,0.0
121,1.21,-4.43,2.917,12.18,0.5091,-0.3783,0.6109,0.0
122,1.22,-11.68,-3.815,-0.5708,0.509,-0.3782,0.611,0.0
123,1.23,-18.52,-10.32,11.23,0.5089,-0.3781,0.6111,0.0
124,1.24,-13.29,-5.386,17.5,0.5088,-0.378,0.6112,0.0
125,1.25,-11.68,-7.406,18.08,0.5088,-0.3778,0.6113,0.0
126,1.26,0.8054,-5.386,6.849,0.5086,-0.3777,0.6114,0.0
127,1.27,2.819,-8.752,6.849,0.5086,-0.3775,0.6116,0.0
128,1.28,12.89,-5.835,0.9513,0.5085,-0.3774,0.6118,0.0
129,1.29,18.12,-2.02,-7.801,0.5083,-0.3773,0.6119,0.0
130,1.3,9.262,-3.366,6.279,0.5082,-0.3771,0.6121,0.0
131,1.31,2.416,-4.488,-0.9513,0.5081,-0.3769,0.6123,0.0
132,1.32,-3.222,-1.571,8.372,0.5081,-0.3767,0.6124,0.0
133,1.33,-9.665,-6.284,6.849,0.508,-0.3765,0.6126,0.0
134,1.34,-13.29,5.835,12.18,0.5079,-0.3763,0.6128,0.0
135,1.35,-20.54,0.4488,5.327,0.5079,-0.3761,0.6129,0.0
136,1.36,-18.93,9.201,10.65,0.5079,-0.376,0.613,0.0
137,1.37,-12.89,6.284,11.8,0.508,-0.3758,0.6131,0.0
138,1.38,-11.68,2.02,6.279,0.508,-0.3757,0.6132,0.0
139,1.39,-1.611,6.284,3.996,0.5081,-0.3756,0.6133,0.0
140,1.4,2.416,5.835,4.947,0.5081,-0.3755,0.6134,0.0
141,1.41,0.4027,5.835,-3.996,0.5081,-0.3755,0.6135,0.0
142,1.42,-0.4027,1.571,-5.898,0.5081,-0.3754,0.6135,0.0
143,1.43,6.443,14.59,-1.522,0.508,-0.3754,0.6136,0.0
144,1.44,13.29,16.16,-7.23,0.5079,-0.3753,0.6137,0.0
145,1.45,14.5,17.5,-3.425,0.5078,-0.3753,0.6138,0.0
146,1.46,6.443,15.04,0.0,0.5076,-0.3753,0.6139,0.0
147,1.47,-2.416,6.733,0.9513,0.5074,-0.3752,0.6141,0.0
148,1.48,-2.416,5.386,-3.425,0.5073,-0.3752,0.6141,0.0
149,1.49,-8.457,-3.815,-10.65,0.5071,-0.3753,0.6142,0.0
150,1.5,-13.69,-6.284,-10.27,0.5069,-0.3753,0.6142,0.0
151,1.51,-16.11,-8.303,-4.376,0.5068,-0.3753,0.6142,0.0
152,1.52,-2.014,-7.406,-14.08,0.5066,-0.3754,0.6141,0.0
153,1.53,8.457,-8.752,-3.425,0.5066,-0.3754,0.614,0.0
154,1.54,10.07,-7.406,3.996,0.5066,-0.3755,0.6139,0.0
155,1.55,16.91,-5.386,3.996,0.5066,-0.3755,0.6138,0.0
156,1.56,12.89,-5.386,0.0,0.5066,-0.3754,0.6138,0.0
157,1.57,7.249,-12.12,2.473,0.5065,-0.3755,0.6138,0.0
158,1.58,0.0,-7.406,0.0,0.5063,-0.3754,0.6139,0.0
159,1.59,-6.041,-12.12,6.849,0.5063,-0.3753,0.6139,0.0
160,1.6,-10.07,-7.855,2.473,0.5062,-0.3753,0.614,0.0
161,1.61,-18.12,-7.855,3.425,0.5061,-0.3752,0.6141,0.0
162,1.62,-10.07,-2.02,6.849,0.5061,-0.3751,0.6142,0.0
163,1.63,-12.89,-6.284,1.522,0.506,-0.3751,0.6142,0.0
164,1.64,-4.43,0.0,4.947,0.506,-0.3752,0.6142,0.0
165,1.65,2.014,-2.917,-0.9513,0.506,-0.3752,0.6143,0.0
166,1.66,7.651,-0.4488,6.279,0.506,-0.3752,0.6144,0.0
167,1.67,6.041,2.469,-1.522,0.506,-0.3751,0.6144,0.0
168,1.68,5.235,9.201,0.0,0.506,-0.3751,0.6144,0.0
169,1.69,-0.8054,4.937,7.23,0.5059,-0.375,0.6145,0.0
170,1.7,-2.014,7.855,-8.372,0.506,-0.375,0.6145,0.0
171,1.71,-18.52,0.0,-5.898,0.506,-0.3749,0.6146,0.0
172,1.72,-11.28,2.02,-14.65,0.506,-0.3748,0.6146,0.0
173,1.73,-8.457,-2.02,0.9513,0.506,-0.3748,0.6146,0.0
174,1.74,-7.249,-4.937,-5.327,0.5061,-0.3748,0.6146,0.0
175,1.75,7.249,4.488,-4.947,0.5061,-0.3749,0.6146,0.0
176,1.76,4.027,-6.733,-3.425,0.5061,-0.375,0.6145,0.0
177,1.77,8.859,-7.406,-3.425,0.5062,-0.375,0.6145,0.0
178,1.78,4.43,-5.386,-5.327,0.5061,-0.375,0.6145,0.0
179,1.79,0.0,-4.937,-2.473,0.5062,-0.3751,0.6145,0.0
180,1.8,-6.443,-4.488,-8.752,0.5062,-0.3751,0.6145,0.0
181,1.81,-8.859,0.0,-11.8,0.5062,-0.3751,0.6145,0.0
182,1.82,-11.68,0.0,-8.752,0.5062,-0.3751,0.6145,0.0
183,1.83,-13.69,-5.835,-3.996,0.5061,-0.3752,0.6145,0.0
184,1.84,-1.611,-2.02,8.752,0.5061,-0.3752,0.6145,0.0
185,1.85,7.249,-5.835,-0.5708,0.5062,-0.3753,0.6145,0.0
186,1.86,15.3,6.284,5.327,0.5062,-0.3753,0.6144,0.0
187,1.87,11.68,3.815,3.996,0.5063,-0.3754,0.6144,0.0
188,1.88,7.249,2.02,-0.9513,0.5063,-0.3753,0.6144,0.0
189,1.89,4.43,1.571,3.425,0.5063,-0.3754,0.6143,0.0
190,1.9,-2.416,0.0,5.898,0.5064,-0.3754,0.6142,0.0
191,1.91,-11.68,-3.366,4.376,0.5065,-0.3755,0.6141,0.0
192,1.92,-10.87,-3.366,2.854,0.5066,-0.3756,0.614,0.0
193,1.93,-2.014,3.815,1.522,0.5066,-0.3756,0.6139,0.0
194,1.94,-0.4027,0.4488,11.8,0.5066,-0.3757,0.6139,0.0
195,1.95,10.87,1.571,5.898,0.5066,-0.3757,0.6139,0.0
196,1.96,10.87,-2.917,9.703,0.5066,-0.3758,0.6139,0.0
197,1.97,14.09,-2.02,0.5708,0.5066,-0.3759,0.6139,0.0
198,1.98,8.457,2.469,4.376,0.5065,-0.3759,0.6139,0.0
199,1.99,11.28,12.12,-0.5708,0.5065,-0.3759,0.6139,0.0
200,2.0,0.8054,7.406,-3.425,0.5064,-0.3759,0.6139,0.0
201,2.01,2.416,5.835,8.752,0.5064,-0.3761,0.6139,0.0
202,2.02,1.611,2.469,4.947,0.5063,-0.3761,0.6138,0.0
203,2.03,0.0,0.8977,5.327,0.5063,-0.3762,0.6137,0.0
204,2.04,0.0,0.8977,13.13,0.5063,-0.3761,0.6138,0.0
205,2.05,2.416,0.0,10.65,0.5063,-0.3762,0.6137,0.0
206,2.06,4.832,-2.02,9.323,0.5062,-0.3761,0.6138,0.0
207,2.07,11.28,-9.874,1.522,0.5061,-0.3761,0.6139,0.0
208,2.08,17.72,1.571,-2.854,0.5061,-0.3761,0.6139,0.0
209,2.09,12.89,-14.14,0.0,0.506,-0.376,0.614,0.0
210,2.1,7.249,-14.14,0.9513,0.506,-0.3758,0.6141,0.0
211,2.11,2.819,-10.32,-5.327,0.506,-0.3756,0.6142,0.0
212,2.12,-1.611,-4.488,7.801,0.5059,-0.3754,0.6144,0.0
213,2.13,4.027,14.59,-1.522,0.5059,-0.3752,0.6146,0.0
214,2.14,-7.249,3.815,2.473,0.5058,-0.375,0.6149,0.0
215,2.15,-12.89,10.77,-7.801,0.5058,-0.3747,0.6152,0.0
216,2.16,-4.43,24.91,-5.898,0.5057,-0.3744,0.6156,0.0
217,2.17,6.443,4.488,-2.473,0.5056,-0.3741,0.6159,0.0
218,2.18,25.37,0.0,-19.6,0.5055,-0.3738,0.6163,0.0
219,2.19,29.4,-5.835,-28.35,0.5054,-0.3733,0.6167,0.0
220,2.2,20.94,-13.24,-43.95,0.5056,-0.3725,0.6172,0.0
221,2.21,4.832,-5.835,-43.38,0.5059,-0.3714,0.6178,0.0
222,2.22,-13.69,1.571,-37.67,0.5066,-0.37,0.6184,0.0
223,2.23,-38.26,6.284,-39.0,0.5074,-0.3686,0.6191,0.0
224,2.24,-53.16,25.36,-42.05,0.5083,-0.3671,0.6197,0.0
225,2.25,-62.42,39.05,-30.82,0.5094,-0.3656,0.6204,0.0
226,2.26,-53.56,61.94,-28.73,0.5106,-0.3643,0.621,0.0
227,2.27,-43.49,70.69,-13.7,0.5116,-0.3633,0.6216,0.0
228,2.28,-15.3,93.36,-3.425,0.5124,-0.3626,0.6222,0.0
229,2.29,0.0,70.24,5.898,0.513,-0.3621,0.6228,0.0
230,2.3,45.91,84.38,13.13,0.5134,-0.362,0.6233,0.0
231,2.31,57.18,69.35,17.5,0.5137,-0.362,0.6237,0.0
232,2.32,66.04,80.12,10.27,0.5139,-0.3618,0.6242,0.0
233,2.33,48.73,87.97,-4.947,0.5141,-0.3615,0.6247,0.0
234,2.34,30.61,110.0,-29.3,0.5143,-0.361,0.6252,0.0
235,2.35,-0.8054,120.5,-42.43,0.5146,-0.3603,0.6256,0.0
236,2.36,-30.2,134.9,-33.68,0.5151,-0.3595,0.6261,0.0
237,2.37,-68.46,130.4,-48.33,0.5156,-0.3588,0.6264,0.0
238,2.38,-88.19,108.4,-30.82,0.5161,-0.3582,0.6268,0.0
239,2.39,-96.65,76.75,-20.55,0.5168,-0.3579,0.6269,0.0
240,2.4,-77.32,44.43,-10.27,0.5175,-0.3579,0.6268,0.0
241,2.41,-39.46,30.75,-23.97,0.5183,-0.3579,0.6266,0.0
242,2.42,-6.443,28.73,-11.23,0.5191,-0.3581,0.6263,0.0
243,2.43,17.72,35.68,-16.17,0.5198,-0.3582,0.626,0.0
244,2.44,32.62,42.86,-27.4,0.5203,-0.3584,0.6256,0.0
245,2.45,41.88,55.21,-27.4,0.5208,-0.3585,0.6255,0.0
246,2.46,32.62,55.21,-43.0,0.5211,-0.3587,0.6255,0.0
247,2.47,18.52,62.39,-24.35,0.5215,-0.3588,0.6256,0.0
248,2.48,2.014,58.57,-28.35,0.5218,-0.359,0.6258,0.0
249,2.49,-4.027,54.31,-2.473,0.5222,-0.3592,0.6259,0.0
250,2.5,-16.11,44.43,5.898,0.5226,-0.3594,0.626,0.0
251,2.51,-12.08,41.97,26.45,0.5231,-0.3596,0.6259,0.0
252,2.52,-10.87,44.88,-2.854,0.5236,-0.3596,0.6256,0.0
253,2.53,-23.76,44.88,-4.376,0.5241,-0.3596,0.6254,0.0
254,2.54,-29.8,31.64,-12.75,0.5247,-0.3593,0.6251,0.0
255,2.55,-29.4,25.36,-8.752,0.5254,-0.3591,0.6248,0.0
256,2.56,-36.65,0.8977,-7.23,0.5261,-0.3588,0.6246,0.0
257,2.57,-22.15,-13.69,-4.376,0.5271,-0.3585,0.6242,0.0
258,2.58,-4.832,-27.38,-5.898,0.528,-0.3584,0.6238,0.0
259,2.59,0.8054,-37.03,0.0,0.529,-0.3584,0.6234,0.0
260,2.6,21.34,-34.11,10.27,0.5301,-0.3585,0.6228,0.0
261,2.61,16.51,-46.01,0.0,0.531,-0.3587,0.6223,0.0
262,2.62,51.14,9.201,47.95,0.5318,-0.3589,0.6218,0.0
263,2.63,33.83,-4.937,27.78,0.5326,-0.3592,0.6211,0.0
264,2.64,18.12,12.79,36.15,0.5331,-0.3596,0.6205,0.0
265,2.65,-36.65,-57.23,22.45,0.5334,-0.3602,0.6197,0.0
266,2.66,-27.79,0.0,11.8,0.5338,-0.3606,0.6187,0.0
267,2.67,-32.62,-58.57,-11.8,0.5343,-0.3611,0.6177,0.0
268,2.68,-56.78,-107.9,-45.47,0.5349,-0.3614,0.6168,0.0
269,2.69,-70.88,-150.8,-43.95,0.5356,-0.3617,0.6158,0.0
270,2.7,-50.74,-178.6,-59.55,0.5367,-0.3617,0.6146,0.0
271,2.71,-22.95,-219.3,-69.26,0.538,-0.3618,0.6132,0.0
272,2.72,26.18,-213.4,-62.98,0.5395,-0.3618,0.6119,0.0
273,2.73,60.41,-196.4,-76.68,0.5411,-0.3618,0.6106,0.0
274,2.74,97.05,-191.4,-64.5,0.5427,-0.3616,0.6095,0.0
275,2.75,132.9,-139.6,-38.05,0.5443,-0.3615,0.6085,0.0
276,2.76,142.6,-132.9,-27.4,0.5458,-0.3615,0.6078,0.0
277,2.77,181.6,-105.0,-5.898,0.547,-0.3618,0.6075,0.0
278,2.78,196.1,-65.53,0.0,0.5481,-0.3622,0.6074,0.0
279,2.79,156.7,-78.55,-23.4,0.5486,-0.3628,0.6078,0.0
280,2.8,116.8,-93.36,-34.63,0.5487,-0.3633,0.6085,0.0
281,2.81,53.56,-81.02,-35.58,0.5484,-0.3639,0.6095,0.0
282,2.82,6.443,-96.28,-18.65,0.548,-0.3643,0.6106,0.0
283,2.83,-26.98,-102.1,-20.93,0.5476,-0.3648,0.6117,0.0
284,2.84,-57.18,-105.0,-44.52,0.5471,-0.3651,0.6128,0.0
285,2.85,-68.06,-85.05,-62.03,0.5467,-0.3651,0.6139,0.0
286,2.86,-56.78,-74.73,-61.46,0.5464,-0.3649,0.615,0.0
287,2.87,-32.22,-31.19,-73.25,0.5464,-0.3647,0.6159,0.0
288,2.88,11.28,-14.59,-88.47,0.5464,-0.3645,0.6169,0.0
289,2.89,45.91,13.69,-89.8,0.5465,-0.3643,0.6177,0.0
290,2.9,38.26,1.571,-83.91,0.5464,-0.3641,0.6186,0.0
291,2.91,31.81,-6.284,-67.92,0.5462,-0.364,0.6196,0.0
292,2.92,18.93,-9.874,-74.77,0.5458,-0.3638,0.6205,0.0
293,2.93,16.51,-13.24,-76.68,0.5453,-0.3637,0.6212,0.0
294,2.94,16.11,-0.8977,-86.38,0.5446,-0.3635,0.6219,0.0
295,2.95,-4.027,-1.571,-95.13,0.5436,-0.3634,0.6226,0.0
296,2.96,-16.91,-9.874,-134.3,0.5426,-0.3632,0.6233,0.0
297,2.97,-18.52,-11.22,-124.1,0.5414,-0.3631,0.6239,0.0
298,2.98,-18.12,-22.44,-142.1,0.5402,-0.3627,0.6245,0.0
299,2.99,-13.29,-34.11,-136.2,0.5392,-0.3624,0.6251,0.0
300,3.0,-18.52,-52.74,-148.0,0.538,-0.3619,0.6257,0.0
301,3.01,-16.51,-57.23,-149.0,0.5369,-0.3614,0.6261,0.0
302,3.02,-38.26,-68.9,-155.8,0.5358,-0.3609,0.6266,0.0
303,3.03,-60.0,-86.85,-162.1,0.5349,-0.3604,0.6269,0.0
304,3.04,-86.58,-122.5,-154.3,0.5342,-0.3598,0.6272,0.0
305,3.05,-103.5,-133.3,-143.6,0.5338,-0.3592,0.6273,0.0
306,3.06,-134.1,-145.0,-147.5,0.5337,-0.3585,0.6272,0.0
307,3.07,-157.9,-139.6,-147.5,0.5337,-0.3579,0.627,0.0
308,3.08,-168.3,-122.5,-148.4,0.534,-0.3575,0.6265,0.0
309,3.09,-158.3,-82.59,-149.0,0.5345,-0.3574,0.6255,0.0
310,3.1,-135.3,-54.76,-127.9,0.535,-0.3576,0.6243,0.0
311,3.11,-74.1,-42.42,-113.2,0.5355,-0.3579,0.6228,0.0
312,3.12,-52.35,-24.91,-102.6,0.5359,-0.3584,0.6212,0.0
313,3.13,-20.54,-21.99,-75.73,0.5363,-0.3588,0.6195,0.0
314,3.14,6.443,-19.97,-72.68,0.5366,-0.3593,0.6178,0.0
315,3.15,-6.443,-53.19,-24.35,0.5373,-0.3596,0.6161,0.0
316,3.16,8.859,-51.17,15.22,0.5382,-0.3599,0.6143,0.0
317,3.17,43.09,-14.59,62.98,0.5393,-0.3606,0.6123,0.0
318,3.18,139.3,67.33,105.4,0.5408,-0.3616,0.6103,0.0
319,3.19,244.4,117.6,105.0,0.5418,-0.3634,0.6083,0.0
320,3.2,315.7,105.5,102.6,0.5418,-0.3659,0.6067,0.0
321,3.21,357.6,30.75,72.3,0.5409,-0.3687,0.6056,0.0
322,3.22,292.4,-75.63,35.58,0.5394,-0.3715,0.605,0.0
323,3.23,206.6,-130.8,5.898,0.5378,-0.3737,0.6046,0.0
324,3.24,108.3,-159.6,-10.65,0.5362,-0.3758,0.6042,0.0
325,3.25,3.222,-160.2,-0.9513,0.5346,-0.3775,0.6035,0.0
326,3.26,-105.9,-160.2,-11.23,0.5334,-0.3792,0.6024,0.0
327,3.27,-169.5,-110.4,-31.2,0.5325,-0.3807,0.6009,0.0
328,3.28,-179.2,-106.8,-41.1,0.5322,-0.3821,0.5994,0.0
329,3.29,-153.8,-36.58,-69.26,0.5324,-0.383,0.5981,0.0
330,3.3,-151.4,-18.63,-57.65,0.5328,-0.3834,0.5974,0.0
331,3.31,-167.9,0.4488,-7.801,0.5334,-0.3836,0.5971,0.0
332,3.32,-172.0,21.54,56.7,0.5341,-0.3839,0.5969,0.0
333,3.33,-130.9,19.52,104.1,0.5348,-0.3848,0.5965,0.0
334,3.34,-69.26,82.59,137.2,0.5354,-0.3866,0.5961,0.0
335,3.35,-2.014,164.0,149.0,0.5355,-0.3892,0.5957,0.0
336,3.36,42.28,217.2,166.1,0.5351,-0.3924,0.5956,0.0
337,3.37,59.2,263.7,141.6,0.5342,-0.3962,0.5955,0.0
338,3.38,127.3,272.4,97.61,0.5326,-0.4004,0.5956,0.0
339,3.39,116.8,242.1,40.53,0.5307,-0.4046,0.5956,0.0
340,3.4,82.96,201.8,-4.376,0.5287,-0.4087,0.5953,0.0
341,3.41,108.7,167.9,17.5,0.527,-0.4124,0.5944,0.0
342,3.42,132.5,122.1,34.25,0.5262,-0.4157,0.5927,0.0
343,3.43,72.89,120.1,-11.8,0.5263,-0.4184,0.5904,0.0
344,3.44,68.86,141.6,32.73,0.5271,-0.4203,0.5879,0.0
345,3.45,38.66,125.9,40.53,0.5282,-0.4215,0.5854,0.0
346,3.46,67.25,87.97,81.05,0.5294,-0.4222,0.5832,0.0
347,3.47,18.52,88.87,57.08,0.53,-0.4225,0.5812,0.0
348,3.48,-39.46,105.5,49.28,0.5302,-0.4226,0.5795,0.0
349,3.49,-61.61,92.68,39.0,0.53,-0.4231,0.5776,0.0
350,3.5,-35.04,110.0,14.65,0.5299,-0.4241,0.5754,0.0
351,3.51,-21.34,53.64,-11.23,0.5297,-0.4256,0.573,0.0
